"Usuário","ID da OBRA","Nome da Obra","Comentário","ID das Incongruências"
"TDP2018","1370","700022 - Escola de Educação Inf - São João do Jaguaribe/CE",NA,"9;7"
"TDP2018","1386","830030 - Escola de Educação Infantil - Pirapemas/MA",NA,"9;7"
"TDP2018","1432","830103 -Escola de Educação Infantil - Formoso do Araguaia/TO",NA,"9;7"
"TDP2018","1496","700017/08 - Escola de Educação Infantil - Rio Tinto/PB",NA,"8"
"TDP2018","1497","710025 - Escola de Educação Infantil - Liberdade/MG",NA,"11"
"TDP2018","1516","710277 - Escola de Educação Infantil - Tipo B -Guaraciama/MG",NA,"9;7"
"TDP2018","1537","710026 - Escola de Educação Infantil - Tipo B - Guaraíta/GO",NA,"9;7"
"TDP2018","1560","830257 - Escola de Educação Infantil - Resende/RJ",NA,"9;7"
"TDP2018","1566","830062 - Escola de Educação Infantil - Santos Dumont/MG",NA,"9;7"
"TDP2018","1569","710161 - Escola de Educação Infantil - Tipo B - Aracruz/ES",NA,"8"
"TDP2018","1577","700098 - Escola de Educação Infantil - Anísio de Abreu/PI",NA,"7"
"TDP2018","1578","700063 - Escola de Educação Infantil - Mauriti/CE",NA,"9;7"
"TDP2018","1579","710148 - Escola de Educação Infantil - Nova Russas/CE",NA,"9;7"
"TDP2018","1581","830452 - Escola de Educação Infantil B - Palmácia/CE",NA,"9"
"TDP2018","1583","710262 -Escola de Educação Infantil - Ouro Preto do Oeste/RO",NA,"7"
"TDP2018","1602","830230 - Escola de Educação Infantil - B - Pau dos Ferros/RN",NA,"9;7"
"TDP2018","1604","710002 - Escola de Educação Infantil - Coração de Jesus/MG",NA,"9"
"TDP2018","1605","830431 - Escola de Educação Infantil - Tipo B - Sampaio/TO",NA,"9;7"
"TDP2018","1606","700075 - Escola de Educação Infantil - Wanderley/BA",NA,"9;7;8"
"TDP2018","1610","710010 - Escola de Educação Infantil - Águas Vermelhas/MG",NA,"9;8"
"TDP2018","1630","830426 - Escola de Educação Infantil - Mata Verde/MG",NA,"9;7"
"TDP2018","1640","700114 - Escola de Educação Infantil - Grajaú/MA",NA,"9;7"
"TDP2018","1656","710212 - Escola de Educação Infantil - Piracanjuba/GO",NA,"9;7"
"TDP2018","1657","710091 - Escola de Educação Infantil - Rio Verde/GO",NA,"7;8"
"TDP2018","1661","830003 - Escola de Educação Infantil - Buritizeiro/MG",NA,"9;7"
"TDP2018","1678","700050 - Escola de Educação Infantil - São Romão/MG",NA,"9;7"
"TDP2018","1682","700018 - Escola de Educação Infantil - Tipo B - Riachão/PB",NA,"9;8"
"TDP2018","1711","710134 - Escola de Educação Infantil - São José do Norte/RS",NA,"9;7"
"TDP2018","1739","830437 - Escola de Educação Infantil - Matrinchã/GO",NA,"9;7"
"TDP2018","1792","710014 - Escola de Educação Infantil - Caçapava do Sul/RS",NA,"9"
"TDP2018","1838","830069 - Escola de Educação Infantil - Murutinga do Sul/SP",NA,"9;7;8"
"TDP2018","1867","830473 - Escola de Educação Infantil - Campinorte/GO",NA,"9;7"
"TDP2018","1870","710240 -Escola de Educação Infantil - Itapirapuã Paulista/SP",NA,"9;7"
"TDP2018","1927","710291 - Escola de Educação Infantil - Paranapanema/SP",NA,"11"
"TDP2018","1953","700035 - Escola de Educação Infantil - Antônio João/MS",NA,"9;7"
"TDP2018","1959","710147 - Escola de Educação Infantil - Cromínia/GO",NA,"9;8"
"TDP2018","2001","710172 - Escola de Educação Infantil - Glória dOeste/MT",NA,"9;7"
"TDP2018","2028","710249 - Escola de Educação Infantil - Piúma/ES",NA,"11;7"
"TDP2018","2033","830270 - Escola de Educação Infantil - Ilicínea/MG",NA,"9"
"TDP2018","2035","710145 - Escola de Educação Infantil - Muzambinho/MG",NA,"9;7"
"TDP2018","2053","830238 - Escola de Educação Infantil - Peruíbe/SP",NA,"9;7"
"TDP2018","2061","830045 - Escola de Educ. Infantil - Tipo B - Francisco Sá/MG",NA,"9;7;8"
"TDP2018","2072","710159 - Escola de Educação Infantil - Capim Branco/MG",NA,"9;7"
"TDP2018","2078","830387 - Escola de Educação Infantil - Abatiá/PR",NA,"9;7"
"TDP2018","2087","710126 - Escola de Educação Infantil - Lajes/RN",NA,"9;7;8"
"TDP2018","2088","700055 - Escola de Educação Infantil - Condado/PB",NA,"9;7"
"TDP2018","2095","830033 - Escola de Educação Infantil - Tipo B - Umirim/CE",NA,"9;7"
"TDP2018","2107","700019 - Escola de Educação Infantil - Sítio Novo/MA",NA,"9;7;8"
"TDP2018","2155","830077 - Escola de Educação Infantil - Casa Branca/SP",NA,"9;7"
"TDP2018","2168","830475 - Escola de Educação Infantil - Aporé/GO",NA,"9;8"
"TDP2018","2176","830450 - Escola de Educação Infantil - Catingueira/PB",NA,"9;7"
"TDP2018","2182","830187 - Escola de Educação Infantil - Pacujá/CE",NA,"9"
"TDP2018","2188","830224 - Escola de Educação Infantil - Tipo B - Inhuma/PI",NA,"9;7"
"TDP2018","2207","700111 - Escola de Educação Infantil - Jaguaretama/CE",NA,"9;7"
"TDP2018","2232","700043 - Escola de Educação Infantil - Dirceu Arcoverde/PI",NA,"9;7"
"TDP2018","2241","830294 - Escola de Educação Infantil - Santo Hipólito/MG",NA,"9;7"
"TDP2018","3551","710219 - Escola de Educação Infantil - Canguaretama/RN",NA,"9;7"
"TDP2018","3784","700297 - Escola de Educação Infantil - Coremas/PB",NA,"11"
"TDP2018","3805","700201 - Escola de Educação Infantil - Riachinho/TO",NA,"9;7"
"TDP2018","3810","700243 - Escola de Educação Infantil - Marcelino Vieira/RN",NA,"9"
"TDP2018","5788","700219 - EEEFM 21 de Abril - Ampliação e Reforma - Palestina do Pará /PA",NA,"9;7;8"
"TDP2018","7361","700254 - Espaço Educativo Urbano II - Porto da Folha/SE",NA,"9;7"
"TDP2018","7810","700262 - Espaço Educativo Urbano II - Formoso/MG",NA,"9;7"
"TDP2018","7882","710484 - E Educ Infantil Tipo C - EMENDA - UIRAMUTA/RR",NA,"9;7"
"TDP2018","7883","710353 - E Educ Infantil Tipo C - EMENDA - CANTA/RR",NA,"9;7;8"
"TDP2018","7905","710432 - E Educ Infantil Tipo C - EMENDA - AMAJARI/RR",NA,"9;7;8"
"TDP2018","8094","816135 - Centro de 23 salas de aula - Constr - Macapá/AP",NA,"11;8"
"TDP2018","8102","804023 - Escola de Ensino Fundamental - Constr - Taperoá/BA",NA,"9;7;8"
"TDP2018","8371","657713 - Esc. Educ. Infantil - Tipo B - Tefe/AM",NA,"9;7;8"
"TDP2018","8373","656808 - Escola de Educação Infantil - Tipo C - COCAL /PI",NA,"9"
"TDP2018","8375","656983 - Esc. Educ. Infantil - Tipo B - SILVANOPOLIS/TO",NA,"9;7"
